
=== Літери з пробілами  ===
Символ Кількість  % від загального
      113782         17.438%
да    2585            0.480%
мо    2574            0.478%
ит    2539            0.471%
ег    2442            0.453%
же    2380            0.442%
ти    2332            0.433%
ой    2295            0.426%
вс    2288            0.425%
бы    2277            0.423%
до    2272            0.422%
ви    2262            0.420%
ль    2206            0.409%
ам    2205            0.409%
чт    2187            0.406%
ня    2156            0.400%
нн    2138            0.397%
им    2121            0.394%
сь    2109            0.391%
ар    2011            0.373%
ед    1994            0.370%
ру    1987            0.369%
ся    1954            0.363%
ны    1944            0.361%
оп    1908            0.354%
ая    1892            0.351%
че    1887            0.350%
тр    1849            0.343%
ев    1819            0.338%
ма    1805            0.335%
ме    1804            0.335%
ди    1793            0.333%
ну    1792            0.333%
ки    1776            0.330%
ие    1762            0.327%
ад    1761            0.327%
се    1750            0.325%
ок    1736            0.322%
кн    1734            0.322%
ик    1721            0.319%
вы    1699            0.315%
ое    1676            0.311%
еп    1663            0.309%
со    1663            0.309%
тв    1612            0.299%
ид    1605            0.298%
хо    1579            0.293%
пе    1555            0.289%
сл    1513            0.281%
му    1505            0.279%
ей    1466            0.272%
ап    1461            0.271%
бо    1456            0.270%
ыл    1421            0.264%
оч    1400            0.260%
уд    1400            0.260%
эт    1388            0.258%
ше    1384            0.257%
ип    1380            0.256%
из    1371            0.254%
ча    1360            0.252%
др    1325            0.246%
лс    1279            0.237%
бе    1271            0.236%
ус    1268            0.235%
оо    1263            0.234%
сп    1243            0.231%
ож    1241            0.230%
ои    1236            0.229%
ши    1230            0.228%
ьн    1227            0.228%
св    1225            0.227%
ян    1216            0.226%
ят    1202            0.223%
ту    1197            0.222%
ьс    1175            0.218%
яс    1172            0.218%
ьк    1165            0.216%
ек    1163            0.216%
яз    1158            0.215%
их    1152            0.214%
кр    1150            0.213%
еб    1142            0.212%
вн    1140            0.212%
ля    1117            0.207%
ио    1116            0.207%
дн    1116            0.207%
си    1112            0.206%
ия    1107            0.205%
мн    1093            0.203%
ут    1087            0.202%
ее    1085            0.201%
ии    1073            0.199%
ым    1069            0.198%
ич    1061            0.197%
ез    1045            0.194%
ду    1044            0.194%
гл    1038            0.193%
ку    1031            0.191%
зн    1027            0.191%
ул    1006            0.187%
ук    1001            0.186%
лк    1001            0.186%
ты    987             0.183%
ый    957             0.178%
са    935             0.174%
йс    935             0.174%
ыв    933             0.173%
иц    932             0.173%
аг    926             0.172%
ры    915             0.170%
уг    913             0.169%
ий    910             0.169%
яв    899             0.167%
оз    893             0.166%
ош    889             0.165%
ша    878             0.163%
гр    877             0.163%
ув    861             0.160%
жа    858             0.159%
аб    853             0.158%
ео    848             0.157%
аи    847             0.157%
уж    841             0.156%
тн    835             0.155%
вш    834             0.155%
лу    832             0.154%
ае    826             0.153%
аж    826             0.153%
нд    826             0.153%
ье    826             0.153%
ум    820             0.152%
еч    813             0.151%
ао    793             0.147%
тс    781             0.145%
лы    777             0.144%
ир    774             0.144%
еи    770             0.143%
иб    768             0.143%
бр    768             0.143%
ьв    762             0.141%
ех    762             0.141%
ще    756             0.140%
яд    756             0.140%
чи    755             0.140%
бу    745             0.138%
па    740             0.137%
ба    737             0.137%
ыс    724             0.134%
еж    718             0.133%
жи    708             0.131%
уп    707             0.131%
ач    699             0.130%
вл    698             0.130%
зь    696             0.129%
це    694             0.129%
иг    692             0.128%
ах    688             0.128%
аш    687             0.128%
сс    686             0.127%
ря    685             0.127%
см    672             0.125%
жн    670             0.124%
га    668             0.124%
сн    661             0.123%
ял    652             0.121%
уч    648             0.120%
ха    643             0.119%
як    643             0.119%
ую    640             0.119%
нь    638             0.118%
ун    636             0.118%
уз    633             0.118%
дв    633             0.118%
ые    630             0.117%
яп    622             0.115%
лн    595             0.110%
гд    592             0.110%
оя    586             0.109%
ву    586             0.109%
мс    578             0.107%
ых    574             0.107%
вп    572             0.106%
ьп    562             0.104%
яи    562             0.104%
ги    557             0.103%
мп    555             0.103%
су    555             0.103%
ьи    545             0.101%
нс    538             0.100%
зв    527             0.098%
лю    527             0.098%
йн    521             0.097%
еш    518             0.096%
гу    518             0.096%
рь    512             0.095%
уш    504             0.094%
ын    502             0.093%
аю    500             0.093%
лп    498             0.092%
нт    497             0.092%
би    488             0.091%
ай    488             0.091%
зо    487             0.090%
бл    484             0.090%
рн    484             0.090%
пи    480             0.089%
ою    475             0.088%
ьо    473             0.088%
зд    468             0.087%
яо    467             0.087%
ыб    461             0.086%
ыт    457             0.085%
йп    457             0.085%
пл    455             0.084%
ур    454             0.084%
уб    452             0.084%
мв    440             0.082%
пу    436             0.081%
лв    435             0.081%
лд    435             0.081%
рт    434             0.081%
йк    432             0.080%
вр    432             0.080%
вт    429             0.080%
ох    428             0.079%
сё    423             0.079%
ды    420             0.078%
ещ    416             0.077%
щи    416             0.077%
фи    416             0.077%
вз    409             0.076%
жд    407             0.076%
тк    401             0.074%
дл    400             0.074%
йв    398             0.074%
мы    397             0.074%
вк    395             0.073%
кт    391             0.073%
ям    390             0.072%
йд    387             0.072%
яж    387             0.072%
аф    384             0.071%
яг    383             0.071%
мк    382             0.071%
вд    381             0.071%
ьм    379             0.070%
ге    376             0.070%
пь    375             0.070%
оф    373             0.069%
нп    367             0.068%
ьа    367             0.068%
чу    366             0.068%
нц    366             0.068%
ца    363             0.067%
уи    360             0.067%
лч    360             0.067%
ып    357             0.066%
тя    353             0.066%
йт    350             0.065%
ке    347             0.064%
кб    347             0.064%
ют    347             0.064%
ыш    341             0.063%
зы    340             0.063%
йо    337             0.063%
кс    336             0.062%
кв    335             0.062%
иж    330             0.061%
зя    330             0.061%
ея    329             0.061%
йи    324             0.060%
оу    322             0.060%
мя    319             0.059%
иш    316             0.059%
цу    314             0.058%
ьт    313             0.058%
фр    312             0.058%
дь    310             0.058%
юд    308             0.057%
ья    304             0.056%
зг    303             0.056%
еу    301             0.056%
бя    301             0.056%
ау    299             0.056%
иу    299             0.056%
чн    299             0.056%
яб    298             0.055%
нв    298             0.055%
тп    294             0.055%
шл    292             0.054%
ык    290             0.054%
ьб    285             0.053%
рд    280             0.052%
нк    280             0.052%
ыр    279             0.052%
ющ    279             0.052%
ьш    278             0.052%
цо    278             0.052%
яч    277             0.051%
сд    276             0.051%
кл    268             0.050%
юс    267             0.050%
ьч    266             0.049%
шк    264             0.049%
юб    264             0.049%
хв    261             0.048%
ща    260             0.048%
хи    260             0.048%
рс    257             0.048%
сы    254             0.047%
мч    253             0.047%
яе    253             0.047%
ух    253             0.047%
лг    251             0.047%
вв    250             0.046%
ыи    250             0.046%
дс    248             0.046%
йм    248             0.046%
ьз    245             0.045%
кк    242             0.045%
уо    241             0.045%
ср    240             0.045%
мг    240             0.045%
гн    239             0.044%
дя    237             0.044%
хс    236             0.044%
рж    236             0.044%
рв    235             0.044%
лж    232             0.043%
сч    231             0.043%
ьд    230             0.043%
ью    228             0.042%
зи    228             0.042%
пя    227             0.042%
йл    224             0.042%
йр    224             0.042%
лб    224             0.042%
йб    223             0.041%
ею    223             0.041%
вг    222             0.041%
рк    220             0.041%
шн    220             0.041%
хн    220             0.041%
оэ    220             0.041%
тд    219             0.041%
тч    216             0.040%
тл    213             0.040%
шо    213             0.040%
кп    212             0.039%
хп    211             0.039%
аа    209             0.039%
иа    209             0.039%
дт    209             0.039%
юн    208             0.039%
шь    206             0.038%
тт    204             0.038%
йг    201             0.037%
лт    199             0.037%
рг    198             0.037%
ьг    194             0.036%
мд    194             0.036%
ыо    193             0.036%
лр    193             0.036%
юи    190             0.035%
ию    188             0.035%
вм    188             0.035%
йч    188             0.035%
зм    187             0.035%
аэ    187             0.035%
юв    185             0.034%
нг    185             0.034%
нб    185             0.034%
зс    184             0.034%
шу    183             0.034%
вэ    183             0.034%
зк    182             0.034%
дъ    182             0.034%
дк    181             0.034%
ец    180             0.033%
яя    179             0.033%
мт    178             0.033%
зу    178             0.033%
яа    177             0.033%
юп    175             0.032%
тб    173             0.032%
нч    171             0.032%
бн    170             0.032%
яр    166             0.031%
юк    166             0.031%
рм    165             0.031%
бк    163             0.030%
кд    161             0.030%
мб    159             0.030%
мл    156             0.029%
ци    155             0.029%
ыд    154             0.029%
уе    152             0.028%
рш    152             0.028%
ащ    151             0.028%
чк    149             0.028%
мм    147             0.027%
ьр    146             0.027%
лл    142             0.026%
ъе    142             0.026%
зе    139             0.026%
ыч    138             0.026%
иэ    138             0.026%
яу    137             0.025%
мр    136             0.025%
хк    135             0.025%
вб    134             0.025%
рю    133             0.025%
йу    133             0.025%
тм    131             0.024%
рп    131             0.024%
зл    130             0.024%
ыг    129             0.024%
вч    129             0.024%
юр    129             0.024%
зр    128             0.024%
ыз    128             0.024%
дп    128             0.024%
ущ    127             0.024%
юч    126             0.023%
ях    126             0.023%
ьу    125             0.023%
еэ    125             0.023%
пы    125             0.023%
оа    124             0.023%
км    124             0.023%
чь    124             0.023%
юо    124             0.023%
сх    124             0.023%
жу    123             0.023%
ху    119             0.022%
