 ;à;á;â;ã;ä;å;æ;ç;è;é;ê;ë;ì;í;î;ï;ð;ñ;ò;ó;ô;õ;ö;÷;ø;ù;û;ü;ý;þ;ÿ
ê;0.008774405323312515;0.0006126859408999428;0.0006795244071799366;0.00023393463197997816;0.00032305258701996985;0.0006052594446466101;0.00016338291757331808;8.911795503999168e-05;0.003442181013419679;3.71324812666632e-06;0.0004233102864399605;0.0005050017452266195;0.0002005153988399813;0.003245378862706364;0.010144593882052386;0.0003490453239066341;0.0020237202290331446;0.0006201124371532754;0.0007315098809532651;0.0018751903039664916;2.970598501333056e-05;5.56987218999948e-05;4.084572939332952e-05;0.00013739018068665386;2.970598501333056e-05;3.71324812666632e-06;0.0;0.0;8.169145878665904e-05;1.85662406333316e-05;8.540470691332536e-05
ë;0.007794107817872606;0.00039360430142662995;0.000846620572879921;0.00046415601583329;0.0008429073247532546;0.0048680682940595455;0.0004418765270732921;0.00019308890258664866;0.007979770224205922;3.71324812666632e-06;0.0019457420183731518;0.00025621412073997607;0.00010768419567332328;0.001125114182379895;0.008659294631385858;0.0009543047685532443;0.0004084572939332952;0.0023022138385331184;0.0003564718201599667;0.0015595642131998545;3.71324812666632e-05;2.599273688666424e-05;7.42649625333264e-06;0.0006795244071799366;7.42649625333264e-05;7.42649625333264e-06;0.0014555932656531974;0.004047440458066289;0.00010025769941999065;0.0010285697310865706;0.002053426214046475
ì;0.003397622035899683;0.0002970598501333056;0.000835480828499922;0.0004418765270732921;0.00036389831641329935;0.003327070321493023;0.0001336769325599875;0.0002227948875999792;0.00475295760213289;0.0;0.0006869509034332692;0.00027849360949997403;0.000267353865119975;0.0019680215071331496;0.004819796068412883;0.0010174299867065717;0.00025621412073997607;0.0010619889642265676;0.0003861778051732973;0.0027812228468730737;4.8272225646662164e-05;0.00010025769941999065;5.198547377332848e-05;0.00048643550459328796;8.540470691332536e-05;7.42649625333264e-06;0.0006943773996866019;3.341923313999688e-05;7.055171440666009e-05;5.941197002666112e-05;0.0006535316702932723
í;0.012424528231825507;0.00031933933889330353;0.0004975752489732869;0.00032676583514663617;0.001507578739426526;0.010088895160152392;6.312521815332744e-05;0.00021536839134664656;0.00808374117175258;0.0;0.0005050017452266195;4.084572939332952e-05;0.00015595642131998545;0.004006594728672959;0.010508492198465686;0.0006423919259132734;0.00017080941382665072;0.0009951504979465737;0.0008948927985265832;0.0032342391183263646;2.599273688666424e-05;5.198547377332848e-05;0.0006758111590532702;0.0003119128426399709;6.312521815332744e-05;0.00018194915820664967;0.0034793134946863417;0.0011473936711398928;4.084572939332952e-05;0.000185662406333316;0.004014021224926292
î;0.00021165514321998025;0.005020311467252864;0.01199750469725888;0.006067447438972767;0.006089726927732765;0.0031674006520463712;0.0023579125604331133;0.0016486821682398462;0.0023133535829131173;0.004181117390626277;0.0033939087877730167;0.008198851863679234;0.006501897469792727;0.010560477672239015;0.0022910740941531195;0.003490453239066341;0.007794107817872606;0.009728710091865758;0.009127163895345815;0.0006052594446466101;0.0006015461965199439;0.0007240833846999324;0.0001485299250666528;0.0026029869367930904;0.0015558509650731881;0.0001448166769399865;0.0;3.71324812666632e-06;0.0003787513089199647;0.0008651868135132526;0.0010545624679732348
ï;0.0013404825737265416;3.71324812666632e-06;0.0;1.113974437999896e-05;3.71324812666632e-06;0.002922326275686394;0.0;0.0;0.0009208855354132474;0.0;8.540470691332536e-05;0.0008429073247532546;0.0;5.941197002666112e-05;0.010233711837092378;8.540470691332536e-05;0.006943773996866019;1.113974437999896e-05;7.055171440666009e-05;0.0008726133097665853;0.0;0.0;3.71324812666632e-06;7.42649625333264e-06;1.113974437999896e-05;0.0;0.00028592010575330667;0.0006943773996866019;3.71324812666632e-06;0.0;0.0004195970383132942
ð;0.009806688302525752;0.00018194915820664967;0.00046415601583329;0.0004195970383132942;0.0005012884970999532;0.007303959065152652;0.00043073678269329313;5.56987218999948e-05;0.006264249589686082;3.71324812666632e-06;0.0004084572939332952;0.00010768419567332328;0.0002970598501333056;0.0008651868135132526;0.008711280105159187;0.00030448634638663826;6.683846627999375e-05;0.00045301627145329104;0.0007946350991065925;0.0036612626528929916;6.312521815332744e-05;0.00015966966944665176;0.0001113974437999896;0.00012625043630665487;0.0002710671132466414;7.055171440666009e-05;0.0017786458526731672;0.0009580180166799105;1.85662406333316e-05;0.0002747803613733077;0.0013516223181065405
ñ;0.0017415133714065042;0.0002005153988399813;0.0022316621241264584;0.00016338291757331808;0.0005050017452266195;0.003999168232419627;0.00010768419567332328;0.00012253718817998856;0.0020719924546798068;0.0;0.0057926670775994595;0.002680965147453083;0.0013256295812198763;0.0012030923930398878;0.003052289960119715;0.0024136112823331082;0.0003787513089199647;0.0012773573555732141;0.012617617134412156;0.0010842684529865656;4.455897751999584e-05;0.00024136112823331082;3.341923313999688e-05;0.0004455897751999584;7.42649625333264e-05;0.0;0.0005198547377332848;0.004069719946826287;7.797821065999272e-05;0.00017452266195331704;0.0036686891491463243
ò;0.006487044477286061;0.00030077309825997194;0.0029854514938397214;0.00017823591007998336;0.0004195970383132942;0.005629284160026142;6.683846627999375e-05;0.00012625043630665487;0.004251669105032937;3.71324812666632e-06;0.0007166568884465998;0.0004010307976799626;0.00024878762448664343;0.0014258872806398668;0.016089504132845166;0.0005161414896066185;0.0033456365621263545;0.0015150052356798587;0.0004084572939332952;0.0021722501540997973;5.941197002666112e-05;5.56987218999948e-05;0.00013739018068665386;0.00038989105329996363;4.084572939332952e-05;1.85662406333316e-05;0.0017712193564198347;0.005896638025146116;0.00015224317319331913;7.797821065999272e-05;0.0006795244071799366
ó;0.00018937565445998234;0.000846620572879921;0.0016449689201131798;0.001774932604546501;0.0025324352223864304;0.000289633353879973;0.001507578739426526;0.001125114182379895;0.0005904064521399449;0.0001299636844333212;0.0018009253414331653;0.0019011830408531558;0.0014815860025398618;0.001158533415519892;0.0004455897751999584;0.0012402248743065508;0.0007575026178399293;0.0023839052973197777;0.0020942719434398046;0.00015966966944665176;4.084572939332952e-05;0.0005012884970999532;1.485299250666528e-05;0.0012327983780532183;0.001010003490453239;0.0002636406169933087;0.0;0.0;0.00010025769941999065;0.0012587911149398825;0.0001448166769399865
