,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
к,0.008287886250749209,0.0006219178569944988,0.0008011346440291732,9.257555886559334e-05,0.0002670448813430577,0.0005400240933826279,0.00014361080285559994,0.00010919168481582805,0.002784387962803615,1.1868661393024788e-06,0.0002622974167858478,0.0007121196835814873,0.00020888844051723625,0.0012106034620885284,0.010675860923025797,0.00039403955824842297,0.0019203494133914107,0.0007785841873824261,0.0010717401237901384,0.0015595421070434571,9.49492911441983e-06,8.426749589047599e-05,1.0681795253722309e-05,0.00022550456646747095,2.967165348256197e-05,3.5605984179074365e-06,0.0,0.0,0.0,0.00010681795253722309,1.1868661393024788e-06,0.00011987348006955035
л,0.0066713745690192335,0.0002860347395718974,0.0007690892582680062,0.0003014639993828296,0.000334696251283299,0.004815115927150156,0.00039878702280563287,0.00020414097596002634,0.007035742473785094,0.0,0.0006955035576312526,0.0001566663303879272,0.0001673481256416495,0.0010396947380289713,0.007487938472859339,0.000723988344974512,0.0004415142038205221,0.0023879746722765874,0.0004605040620493618,0.0018977989567446635,2.3737322786049574e-05,3.679285031837684e-05,4.747464557209915e-06,0.0006575238411735732,2.611105506465453e-05,3.5605984179074365e-06,0.0,0.0007192408804173021,0.005593700114532582,0.000111565417094433,0.0008865890060589516,0.0016331278076802107
м,0.0035831488745541834,0.0002955296686863172,0.0008438618250440624,0.0002812872750146875,0.00047237272344238655,0.004845974446772021,0.00016141379494513712,0.00023856009399979823,0.0038406988267828215,1.1868661393024788e-06,0.00047237272344238655,0.00021957023577095857,0.0002741660781788726,0.0027060547976096518,0.005076226477796702,0.0009720433680887301,0.0003430043142584164,0.001070553257650836,0.000528155431989603,0.002850852466604554,4.984837785070411e-05,8.070689747256856e-05,1.898985822883966e-05,0.0003999738889449353,4.866151171140163e-05,3.5605984179074365e-06,0.0,0.0009661090373922177,9.49492911441983e-05,0.00013055527532327267,8.308062975117352e-06,0.0005673220145865849
н,0.012101287156328074,0.00027535294431817506,0.0006349733845268261,0.00010800481867652557,0.0005234079674323931,0.012237776762347859,2.611105506465453e-05,0.00015429259810932223,0.009354878909982137,1.1868661393024788e-06,0.0005400240933826279,6.290390538303138e-05,0.00013292900760187762,0.0033374675837185702,0.011900706778785955,0.0005732563452830972,0.00030383773166143456,0.0008640385494122046,0.0007014378883277649,0.0035321136305641767,4.628777943279667e-05,5.57827085472165e-05,0.00018277738545258173,0.0003750497000195833,3.0858519621864446e-05,0.00010444422025861813,0.0,0.002974286545092012,0.0014384817608346042,5.815644082582146e-05,0.0002516156215321255,0.0021980760899881907
о,0.0002575499522286379,0.005650669689219102,0.012590276005720694,0.005397867201547673,0.007144934158600922,0.002838983805211529,0.0030799176314899326,0.0018135314608541877,0.0023333788298686734,0.0033825684970120646,0.0030870388283257473,0.007359756929814671,0.007186474473476509,0.01038033125433948,0.0023013334441075064,0.004253728243260084,0.006539632427556658,0.009345383980867717,0.009750105334369864,0.0009756039665066375,0.00027179234590026766,0.0008130033054221979,0.0001507319996914148,0.0038312038976684015,0.00126401243835714,0.00028010040887538497,1.1868661393024788e-06,0.0,0.0,0.00044032733768121964,0.00069906415604916,0.0013269163437401713
п,0.000951866643720588,4.747464557209915e-06,2.3737322786049575e-06,1.1868661393024788e-06,2.3737322786049575e-06,0.0034027452213802067,0.0,3.5605984179074365e-06,0.0009554272421384954,0.0,9.257555886559334e-05,0.0007477256677605617,1.1868661393024788e-06,0.00011512601551234044,0.010891870560378847,4.5100913293494195e-05,0.00801015957415243,3.91665825969818e-05,8.545436202977847e-05,0.0009067657304270938,0.0,2.3737322786049575e-06,1.0681795253722309e-05,2.611105506465453e-05,8.308062975117352e-06,0.0,0.0,0.00026111055064654534,0.0001839642515918842,0.0,0.0,0.0006895692269347402
р,0.00877687510014183,0.00016853499178095198,0.0005020443769249485,0.00019939351140281644,0.00039760015666633037,0.006113547483547068,0.0002848478734325949,7.595943291535864e-05,0.006352107577546866,1.1868661393024788e-06,0.00027535294431817506,8.189376361187104e-05,0.00035012551109423124,0.0008497961557405748,0.008600032045385762,0.00031689325919376183,4.5100913293494195e-05,0.0002065147082386313,0.0007857053842182409,0.0030621146394003954,0.00034893864495492874,7.952003133326607e-05,2.017672436814214e-05,0.00011037855095513052,0.00026585801520375525,1.5429259810932223e-05,0.0,0.0009744171003673351,0.0011488864228447995,9.49492911441983e-06,0.00024093382627840318,0.001172623745630849
с,0.0020983793342867823,0.0002634842829251503,0.001980879586495837,9.969675570140822e-05,0.00047830705413889896,0.005331402697746734,0.00026467114906445274,0.00010325735411931565,0.0018621929725655892,0.0,0.004431758164155456,0.0032935535365643787,0.0015191886583071728,0.0015725976345757843,0.0035036288432209175,0.002478176498863576,0.0002694186136216627,0.0011061592418299103,0.011627727566746385,0.0010242654782180393,1.1868661393024787e-05,0.00026467114906445274,6.765136994024129e-05,0.0005423978256612328,0.00010563108639792062,3.5605984179074365e-06,1.6616125950234703e-05,0.00023856009399979823,0.003680471897976987,7.239883449745121e-05,0.0003014639993828296,0.004320192747061023
т,0.0070226869462527665,0.0004248980778702874,0.003135700340037149,0.00010919168481582805,0.00045575659749215187,0.007219706725376978,0.00013174214146257515,0.0001673481256416495,0.0044376924948519685,0.0,0.0007489125338998641,0.0003204538576116693,0.0002694186136216627,0.0019428998700381577,0.018085466230691172,0.0006504026443377584,0.003786102984374907,0.0018550717757297743,0.00047712018799959645,0.0021553489089733016,2.4924188925352055e-05,5.934330696512394e-05,8.782809430838342e-05,0.0006955035576312526,2.967165348256197e-05,3.204538576116693e-05,1.5429259810932223e-05,0.0016687337918592851,0.007917584015286836,0.00014242393671629744,9.732302342280326e-05,0.0005803775421189121
у,0.00023737322786049575,0.001070553257650836,0.0015904006266653215,0.001844389980476052,0.002754716309321053,0.00035605984179074365,0.0022467376016995924,0.00046643839274587413,0.0006800742978203203,0.00026585801520375525,0.0011560076196806142,0.001846763712754657,0.002263353727649827,0.0015583552409041547,0.0004711858573030841,0.0014954513355211233,0.0006978772899098575,0.001876435366237219,0.002331005097590068,0.00016141379494513712,3.91665825969818e-05,0.0005507058886363501,1.3055527532327266e-05,0.0014337342962773944,0.0007061853528849748,0.000334696251283299,0.0,0.0,0.0,0.00011275228323373548,0.000867599147830112,0.0002349994955818908
