, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
х,0.002448859743564647,0.0003738866594890868,1.1745130664578643e-05,0.00020553978663012627,3.915043554859548e-06,1.566017421943819e-05,0.0003190760497210531,7.830087109719096e-06,1.566017421943819e-05,0.0005050406185768817,0.0,1.3702652442008418e-05,0.00014094156797494372,7.830087109719095e-05,0.00016247430752667125,0.002192424390721347,4.3065479103455024e-05,9.78760888714887e-05,6.068317510032299e-05,5.2853087990603895e-05,0.00016247430752667125,0.0,0.0,0.0,1.957521777429774e-06,1.1745130664578643e-05,1.957521777429774e-06,0.0,0.0,0.0,9.78760888714887e-06,0.0,0.0
ц,0.0003249486150533425,0.0004913379661348733,0.0,3.915043554859548e-05,1.957521777429774e-06,3.915043554859548e-06,0.0007379857100910247,0.0,0.0,0.00010374865420377802,0.0,2.1532739551727512e-05,0.0,1.957521777429774e-06,1.957521777429774e-06,0.00019183713418811785,5.872565332289321e-06,3.915043554859548e-06,5.872565332289321e-06,5.872565332289321e-06,0.00018792209063325828,1.957521777429774e-06,0.0,0.0,0.0,1.957521777429774e-06,0.0,0.0,0.0001331114808652246,0.0,0.0,0.0,1.957521777429774e-06
ч,0.00043065479103455024,0.002468434961338945,1.957521777429774e-06,1.957521777429774e-06,0.0,3.915043554859548e-06,0.003791719682881472,0.0,0.0,0.001550357247724381,0.0,0.0005069981403543114,1.957521777429774e-05,0.0,0.0008769697562885388,8.808847998433983e-05,1.957521777429774e-06,0.00010374865420377802,1.957521777429774e-06,0.004122540863267104,0.0006890476656552804,0.0,0.0,0.0,0.0,0.0001507291768620926,0.0,0.0,0.0,0.00022903004795928354,0.0,0.0,0.0
ш,5.872565332289322e-05,0.0009063325829499853,0.0,3.915043554859548e-06,0.0,0.0,0.0021513164333953217,0.0,0.0,0.0014348634628560243,0.0,0.0004737202701380053,0.0005148282274640305,1.3702652442008418e-05,0.0003973769208182441,0.00017030439463639033,1.957521777429774e-06,0.0,1.957521777429774e-06,3.719291377116571e-05,0.00018987961241068808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006381520994421063,0.0,0.0,0.0
щ,5.872565332289321e-06,0.0003249486150533425,0.0,0.0,0.0,0.0,0.0013663502006459822,0.0,0.0,0.00046980522658314575,0.0,0.0,0.0,0.0,5.481060976803367e-05,0.0,0.0,3.915043554859548e-06,0.0,0.0,0.00011940882842321621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.327787021630615e-05,0.0,0.0,0.0
ъ,0.0,0.0,0.0,0.0,0.0,0.0,3.719291377116571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014485661152980326
ы,0.004048155035724772,5.872565332289321e-06,0.00015855926397181168,0.0008162865811882158,0.00010374865420377802,0.00019966722129783693,0.000675345013213272,1.7617695996867965e-05,6.264069687775277e-05,2.1532739551727512e-05,0.0012606440246647743,0.00016834687285896056,0.00190466868943917,0.0008358617989625135,0.0001957521777429774,1.7617695996867965e-05,0.00015855926397181168,0.00019183713418811785,0.0006616423607712636,0.0007673485367524714,1.3702652442008418e-05,0.0,0.0008064989723010668,1.957521777429774e-06,0.00017030439463639033,0.00041695213859254185,3.915043554859548e-06,0.0,0.0,0.0,1.957521777429774e-06,0.0,5.872565332289321e-06
ь,0.011116766174023686,7.830087109719096e-06,9.00460017617696e-05,0.00010766369775863756,0.00012919643731036507,5.481060976803367e-05,0.000450230008808848,3.915043554859548e-06,0.00016834687285896056,0.00018596456885582851,0.0,0.0012958794166585104,1.957521777429774e-05,0.0003621415288245082,0.0020651854751884114,5.676813154546344e-05,0.00011353626309092688,2.3490261329157286e-05,0.0009552706273857297,0.0002916707448370363,1.566017421943819e-05,1.1745130664578643e-05,0.0001331114808652246,6.264069687775277e-05,8.808847998433983e-05,0.0002779680923950279,2.936282666144661e-05,0.0,0.0,0.0,7.830087109719096e-06,0.00036409905060193795,0.0004854654008025839
э,9.78760888714887e-06,0.0,0.0,0.0,3.915043554859548e-06,3.915043554859548e-06,0.0,0.0,0.0,0.0,7.830087109719096e-06,4.3065479103455024e-05,1.957521777429774e-06,1.957521777429774e-06,2.7405304884016836e-05,0.0,3.915043554859548e-06,1.957521777429774e-06,5.872565332289321e-06,0.002787511011059998,0.0,1.3702652442008418e-05,5.872565332289322e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.830087109719096e-06,0.0,0.0
ю,0.0026015464422041697,0.0,0.00033473622394049134,2.1532739551727512e-05,1.957521777429774e-06,0.00032690613683077226,1.957521777429774e-06,1.566017421943819e-05,1.566017421943819e-05,1.7617695996867965e-05,1.957521777429774e-06,2.5447783106587062e-05,1.957521777429774e-05,6.068317510032299e-05,4.3065479103455024e-05,1.3702652442008418e-05,3.327787021630615e-05,6.851326221004209e-05,0.00021336987373984535,0.00033277870216306157,9.78760888714887e-06,1.957521777429774e-06,7.830087109719096e-06,1.957521777429774e-06,0.00010962121953606734,6.264069687775277e-05,0.00016247430752667125,0.0,0.0,0.0,0.0,4.50230008808848e-05,0.0
