, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
й,0.005469321199296466,3.9150473867548075e-06,3.2299140940727165e-05,2.8384093553972354e-05,2.3490284320528845e-05,0.0002975436013933654,4.893809233443509e-06,6.851332926820913e-06,1.566018954701923e-05,1.7617713240396632e-05,0.0,0.0001693257994771454,0.00021924265365826922,6.361952003476562e-05,0.0003797595965152163,2.153276062715144e-05,5.774694895463341e-05,2.4469046167217546e-05,0.0004874233996509735,0.0004786145430307752,1.1745142160264423e-05,3.9150473867548075e-06,5.872571080132211e-06,3.132037909403846e-05,0.0002094550351913822,0.00018498598902416465,9.787618466887019e-07,0.0,0.0,0.0,5.872571080132211e-06,0.0,1.9575236933774038e-06
к,0.004371150407311742,0.006788692168632836,3.327790278741586e-05,0.0002613294130658834,6.851332926820913e-06,2.055399878046274e-05,0.0003758445491284615,6.851332926820913e-06,1.663895139370793e-05,0.001963396264457536,9.787618466887019e-07,2.8384093553972354e-05,0.0005148287313582572,2.642656986059495e-05,0.0006058535831003065,0.008537739588665546,4.012923571423677e-05,0.0014603126752595432,0.00027405331707283653,0.0006459828188145432,0.0011872381200333953,0.0,3.719295017417067e-05,4.893809233443509e-06,1.1745142160264423e-05,1.4681427700330527e-05,0.0,0.0,0.0,0.0,2.9362855400661056e-06,0.0,3.9150473867548075e-06
л,0.006465700759225565,0.005363614919854086,4.012923571423677e-05,4.99168541811238e-05,0.00013213284930297474,3.5235426480793264e-05,0.003659590544769056,0.0003063524580135637,1.566018954701923e-05,0.005302931685359387,0.0,0.00028384093553972354,5.18743778745012e-05,1.9575236933774038e-05,0.0002828621736930348,0.005282377686578924,0.00011843018344933293,5.28531397211899e-05,0.0014505250567926561,0.00013506913484304084,0.0014524825804860335,2.9362855400661056e-06,0.0,0.0,0.00023294531951191104,2.9362855400661056e-06,9.787618466887019e-07,0.0,0.0005931296790933533,0.0046129045834438515,2.9362855400661056e-06,0.0007311350994764603,0.0012303036412876982
м,0.0067182213156712495,0.002865814687104519,3.621418832748197e-05,5.4810663414567305e-05,9.298237543542668e-05,3.817171202085937e-05,0.0038798119602740143,8.808856620198316e-06,2.2511522473840144e-05,0.0026250392728190985,0.0,0.00010081247020893629,9.493989912880408e-05,3.817171202085937e-05,0.0016374685695101981,0.0036938472094031607,0.00011745142160264422,8.319475696853965e-05,0.00018792227456423076,0.00016834703763045673,0.002130764540241304,1.566018954701923e-05,6.851332926820913e-06,1.076638031357572e-05,6.949209111489783e-05,6.851332926820913e-06,0.0,0.0,0.0007967121432046033,7.830094773509615e-05,6.851332926820913e-06,4.893809233443509e-06,0.00034060912264766824
н,0.0039649642409359314,0.00992953893465688,2.3490284320528845e-05,4.012923571423677e-05,3.132037909403846e-05,0.00029069226846654446,0.010015669977165485,2.9362855400661056e-06,1.9575236933774038e-05,0.007458165271767908,9.787618466887019e-07,0.000259371889372506,4.893809233443509e-06,8.808856620198316e-06,0.0024116691902409614,0.009570333336922126,4.110799756092548e-05,6.851332926820913e-05,0.00028090464999965746,0.0003836746439019711,0.0027718535498224037,3.5235426480793264e-05,5.872571080132211e-06,0.00014485675330992787,0.00019770989303111776,4.893809233443509e-06,8.319475696853965e-05,0.0,0.002452777187801887,0.0011862593581867067,0.0,0.0002074975114980048,0.0017735164661999278
о,0.021635530621053754,1.7617713240396632e-05,0.0035010311256054864,0.007910353244938089,0.004091224519158773,0.004924150850690859,0.001713811993551917,0.002087699018987001,0.000945483943901286,0.0006733881505218269,0.0027894712630628002,0.0016306172365833772,0.005748268325602746,0.005140457218809062,0.006652644271943106,0.0003660569306615745,0.001667810186757548,0.004891851709750132,0.005815802893024267,0.006826863880653696,0.00014094170592317306,0.00018009217979072115,0.0004805720667241526,8.710980435529447e-05,0.002288345197558185,0.000988549465155589,0.00022511522473840143,0.0,0.0,0.0,1.566018954701923e-05,0.0005715969184662019,0.0006195562489539482
п,3.5235426480793264e-05,0.0007849670010443389,0.0,0.0,0.0,0.0,0.0028051314526098196,0.0,0.0,0.0007820307155042728,0.0,7.536466219503004e-05,0.0006156412015671935,0.0,9.493989912880408e-05,0.00898013994336884,3.425666463410457e-05,0.006605663703302049,2.9362855400661055e-05,6.949209111489783e-05,0.0007467952890234795,0.0,0.0,8.808856620198316e-06,1.9575236933774038e-05,6.851332926820913e-06,0.0,0.0,0.0002153276062715144,0.0001517080862367488,0.0,0.0,0.0005686606329261358
р,0.0006821970071420252,0.0072213049048692425,0.00011060008867582331,0.00036116312142813096,0.0001507293243900601,0.00029950112508674275,0.005033772177519994,0.00023196655766522233,5.0895616027812494e-05,0.0051707988360564115,9.787618466887019e-07,0.00019477360749105166,6.655580557483172e-05,0.00028090464999965746,0.0006391314858877223,0.007047085296158653,0.000111578850522512,2.4469046167217546e-05,0.00011647265975595552,0.0006215137726473256,0.0025124816604498975,0.00028481969738641225,5.9704472648010814e-05,1.663895139370793e-05,7.144961480827524e-05,0.00021630636811820311,1.2723904006953124e-05,0.0,0.0008035634761314242,0.0009474414675946634,0.0,0.00019868865487780648,0.0009572290860615504
с,0.0033737920855359555,0.0016727039959909915,0.00010081247020893629,0.0013438400155035876,3.425666463410457e-05,0.00022120017735164662,0.0043398300282177045,4.012923571423677e-05,2.2511522473840144e-05,0.0013888630604512679,0.0,0.0034677532228180705,0.0026455932715995613,0.0011138309815317427,0.0009122060411138702,0.0027101915534810156,0.0017255571357121815,0.000157580657316881,0.0006371739621943449,0.009327600398943328,0.0006998147203824218,2.9362855400661056e-06,0.00018596475087085337,5.18743778745012e-05,0.000370950739895018,7.438590034834135e-05,9.787618466887019e-07,1.3702665853641826e-05,0.00019673113118442908,0.0030351404865816643,1.9575236933774038e-06,0.0002456692235188642,0.0035372453139329687
т,0.0053557848250805765,0.005624944332919969,3.034161724734976e-05,0.0020867202571403123,1.9575236933774038e-05,9.689742282218149e-05,0.005799163941630559,5.872571080132211e-06,1.663895139370793e-05,0.0032328503796127824,0.0,0.0003621418832748197,0.00020162494041787258,4.502304494768029e-05,0.0011167672670718087,0.014576700182734837,0.00012723904006953124,0.002994032489020739,0.0010981707919847236,0.0001057062794423798,0.0016394260932035755,0.0,1.8596475087085337e-05,6.361952003476562e-05,0.0003337577897208473,1.076638031357572e-05,2.5447808013906247e-05,1.2723904006953124e-05,0.0013761391564443147,0.00652932027926033,1.7617713240396632e-05,8.025847142847355e-05,0.00039052597682879203
у,0.006284629817588154,3.2299140940727165e-05,0.0007360289087099038,0.0006880695782221574,0.0014417162001724578,0.001972205121077734,0.00018792227456423076,0.001747089896339333,0.00023881789059204326,2.642656986059495e-05,0.00021924265365826922,0.0006557704372814302,0.001457376389719477,0.001582657906095631,0.0005598517763059375,3.719295017417067e-05,0.0006988359585357332,0.0004296764506963401,0.0010511902233436659,0.0015679764783953004,1.076638031357572e-05,1.3702665853641826e-05,0.0003895472149821033,7.830094773509615e-06,0.0008045422379781129,0.0005667031092327584,0.00027405331707283653,0.0,0.0,0.0,5.872571080132211e-06,0.0007144961480827523,5.9704472648010814e-05
ф,1.566018954701923e-05,0.00021924265365826922,0.0,0.0,0.0,0.0,4.698056864105769e-05,0.0,0.0,0.00029167103031323317,0.0,1.9575236933774038e-06,7.830094773509615e-06,3.9150473867548075e-06,0.0,0.0001027699939023137,9.787618466887019e-07,7.634342404171874e-05,1.9575236933774038e-06,1.2723904006953124e-05,0.0001057062794423798,1.076638031357572e-05,0.0,0.0,9.787618466887019e-07,9.787618466887019e-07,0.0,0.0,2.153276062715144e-05,0.0001047275175956911,0.0,0.0,0.0
х,0.0024547347114952643,0.00040129235714236774,8.808856620198316e-06,0.00020064617857118387,1.9575236933774038e-06,1.8596475087085337e-05,0.0003171188383271394,8.808856620198316e-06,1.4681427700330527e-05,0.0005226588261317668,0.0,1.3702665853641826e-05,0.00014387799146323916,7.634342404171874e-05,0.0001634532283970132,0.00223940710522375,4.208675940761418e-05,9.200361358873797e-05,5.0895616027812494e-05,6.361952003476562e-05,0.0001536656099301262,9.787618466887019e-07,0.0,0.0,3.9150473867548075e-06,1.566018954701923e-05,9.787618466887019e-07,0.0,0.0,0.0,5.872571080132211e-06,0.0,2.9362855400661056e-06
ц,0.0003141825527870733,0.0005050411128913702,0.0,2.7405331707283653e-05,9.787618466887019e-07,1.9575236933774038e-06,0.0007330926231698376,0.0,0.0,0.00011843018344933293,0.0,1.8596475087085337e-05,0.0,2.9362855400661056e-06,2.9362855400661056e-06,0.00019379484564436297,4.893809233443509e-06,3.9150473867548075e-06,6.851332926820913e-06,8.808856620198316e-06,0.00018302846533078726,9.787618466887019e-07,0.0,0.0,0.0,9.787618466887019e-07,0.0,0.0,0.0001566018954701923,0.0,0.0,0.0,9.787618466887019e-07
ч,0.0004238038796162079,0.0024821400432025477,1.9575236933774038e-06,5.872571080132211e-06,0.0,2.9362855400661056e-06,0.0037887871085319647,0.0,0.0,0.001526868480834375,0.0,0.0005069986365847475,1.3702665853641826e-05,1.9575236933774038e-06,0.0008250962367585756,8.025847142847355e-05,1.9575236933774038e-06,9.004608989536058e-05,3.9150473867548075e-06,0.004124502421946189,0.0006645792939016286,0.0,0.0,0.0,9.787618466887019e-07,0.00013898418222979566,0.0,0.0,0.0,0.00023979665243873197,0.0,0.0,0.0
ш,5.38319015678786e-05,0.0008857794712532752,0.0,6.851332926820913e-06,0.0,0.0,0.0021023804466873317,0.0,0.0,0.0013369886825767667,0.0,0.000446315402090048,0.0005177650168983232,1.1745142160264423e-05,0.00039346226236885816,0.00017421960871058894,2.9362855400661056e-06,0.0,9.787618466887019e-07,4.208675940761418e-05,0.00019575236933774037,0.0,0.0,0.0,9.787618466887019e-07,0.0,0.0,0.0,0.0,0.0006175987252605709,0.0,0.0,0.0
щ,4.893809233443509e-06,0.0003592055977347536,0.0,0.0,0.0,0.0,0.0013438400155035876,0.0,0.0,0.0005226588261317668,0.0,0.0,0.0,0.0,4.795933048774639e-05,0.0,0.0,2.9362855400661056e-06,0.0,0.0,0.00014779303884999398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.817171202085937e-05,0.0,0.0,0.0
ъ,9.787618466887019e-07,0.0,0.0,0.0,0.0,0.0,3.132037909403846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016736827578376802
ы,0.00404913775975116,3.9150473867548075e-06,0.0001634532283970132,0.0007839882391976502,0.00010962132682913461,0.00017911341794403244,0.000705687291462554,2.4469046167217546e-05,5.38319015678786e-05,2.055399878046274e-05,0.0012254098320542547,0.0001614957047036358,0.0018694351271754206,0.000879906900173143,0.00018987979825760816,2.055399878046274e-05,0.00013898418222979566,0.0002026037022645613,0.0006528341517413642,0.0007526678601036118,1.076638031357572e-05,0.0,0.0007790944299642066,1.9575236933774038e-06,0.00017813465609734373,0.00044729416393673673,6.851332926820913e-06,0.0,0.0,0.0,9.787618466887019e-07,0.0,3.9150473867548075e-06
ь,0.01106783896235584,7.830094773509615e-06,9.689742282218149e-05,9.787618466887018e-05,0.00013898418222979566,5.18743778745012e-05,0.0004189100703827644,2.9362855400661056e-06,0.00016541075209039062,0.00016541075209039062,0.0,0.0013125196364095492,1.663895139370793e-05,0.0003680144543549519,0.0021346795876280586,6.557704372814303e-05,0.00012234523083608773,2.5447808013906247e-05,0.0009278662306608893,0.0003034161724734976,1.7617713240396632e-05,1.3702665853641826e-05,0.00013996294407648437,6.459828188145433e-05,0.00012234523083608773,0.00029264979215992183,2.9362855400661055e-05,0.0,0.0,0.0,1.1745142160264423e-05,0.000315161314633762,0.00045316673501686895
э,9.787618466887019e-06,0.0,0.0,3.9150473867548075e-06,5.872571080132211e-06,5.872571080132211e-06,0.0,0.0,0.0,0.0,1.2723904006953124e-05,4.012923571423677e-05,4.893809233443509e-06,2.9362855400661056e-06,2.3490284320528845e-05,0.0,3.9150473867548075e-06,9.787618466887019e-07,6.851332926820913e-06,0.0027219366956412797,0.0,8.808856620198316e-06,4.306552125430288e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2723904006953124e-05,0.0,0.0
ю,0.0027229154574879687,3.9150473867548075e-06,0.00031026750540031847,1.7617713240396632e-05,2.9362855400661056e-06,0.0002965648395466767,2.9362855400661056e-06,1.1745142160264423e-05,9.787618466887019e-06,1.2723904006953124e-05,9.787618466887019e-07,2.4469046167217546e-05,1.3702665853641826e-05,5.872571080132211e-05,5.774694895463341e-05,9.787618466887019e-06,2.8384093553972354e-05,6.753456742152042e-05,0.00023392408135859975,0.00035724807404137617,7.830094773509615e-06,1.9575236933774038e-06,7.830094773509615e-06,9.787618466887019e-07,0.0001037487557490024,6.459828188145433e-05,0.00016247446655032451,0.0,0.0,0.0,2.9362855400661056e-06,3.621418832748197e-05,0.0
