,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
к,0.00824870987803778,0.0006100484715555999,0.0008236841230731251,8.545426060701009e-05,0.000246867863975807,0.0005625738823294832,0.00014005003821704432,0.00011631274360398597,0.002651455808278619,0.0,0.0002634839702049478,0.0007049976500078333,0.00021363565151752526,0.0012557028850307872,0.010589207126885335,0.00039166536111546297,0.0019203471341964213,0.0008355527703796543,0.0010871680932780729,0.0014930758311613708,1.1868647306529181e-05,8.545426060701009e-05,1.4242376767835016e-05,0.0002634839702049478,2.8484753535670033e-05,4.747458922611672e-06,0.0,0.0,0.0,9.732290791353927e-05,0.0,0.0001258076614492093
л,0.006850583225328643,0.000303837371047147,0.0007809569927696201,0.0002943424532019237,0.0003157060183536762,0.004813923347528236,0.0003821704432702396,0.00019939327474969022,0.0072232587507536595,0.0,0.0007002501910852217,0.00014005003821704432,0.00019227208636577272,0.0010112087505162863,0.007536591039646029,0.0007548459686952558,0.0004106551968059096,0.0024876684754485162,0.00044388740926419134,0.001882367462815528,2.1363565151752523e-05,3.7979671380893375e-05,2.373729461305836e-06,0.000636159495629964,2.6111024074364197e-05,4.747458922611672e-06,0.0,0.0006978764616239158,0.005480941326155175,0.00010681782575876263,0.0009138858426027469,0.0016473682461462503
м,0.0035416043562683072,0.00028722126481800617,0.0008189366641505135,0.00026585769966625363,0.00047237216279986136,0.004968215762513115,0.00017565598013663186,0.00025873651128233615,0.003835946809470231,2.373729461305836e-06,0.0004557560565707205,0.00022075683990144276,0.00028722126481800617,0.002689435479659512,0.0050869022355784065,0.000970855349674087,0.00031333228889237035,0.0010966630111232962,0.0005198467520259781,0.0027725160108052166,4.7474589226116724e-05,7.121188383917509e-05,2.1363565151752523e-05,0.00038691790219285127,5.459577761003423e-05,4.747458922611672e-06,0.0,0.0009471180550610286,9.494917845223345e-05,0.00011868647306529181,7.121188383917508e-06,0.000564947611790789
н,0.012189100783805468,0.000246867863975807,0.0006147959304782115,9.020171952962177e-05,0.0004961094574129197,0.012020565992052755,2.3737294613058362e-05,0.00015666614444618518,0.009243302522324925,0.0,0.0005768162590973182,6.409069545525757e-05,0.000144797497139656,0.0033374636225960053,0.011773698128076947,0.0005744425296360123,0.000289594994279312,0.0008996434658349119,0.0006741391670108574,0.0035107458732713316,4.7474589226116724e-05,4.9848318687422556e-05,0.00016378733283010268,0.00037267552542501626,3.3232212458281704e-05,0.0001258076614492093,0.0,0.002941050802557931,0.0013838842759413025,6.409069545525757e-05,0.00021363565151752526,0.0022241845052435685
о,0.0002516153228984186,0.005663718494675725,0.012689957700140999,0.0053978607950094714,0.007099824818765756,0.002957666908787072,0.0030739796523910575,0.0018562564387411638,0.0023381235193862485,0.003389685670744734,0.0031024644059267277,0.0074226520255033495,0.0074084096487355144,0.010513247784123547,0.0023879718380736712,0.004239480817892223,0.006342605120609194,0.009207696580405338,0.009898451853645336,0.0009898451853645337,0.00029908991212453535,0.0008260578525344309,0.00016141360336879685,0.003821704432702396,0.0012367130493403406,0.0002943424532019237,2.373729461305836e-06,0.0,0.0,0.00047711962172247306,0.0006907552732399983,0.00130555120371821
п,0.0009922189148258394,4.747458922611672e-06,4.747458922611672e-06,0.0,2.373729461305836e-06,0.0033066051395990296,0.0,0.0,0.0009945926442871452,0.0,0.00010681782575876263,0.0007833307222309259,2.373729461305836e-06,0.00012106020252659763,0.01071738851779585,4.9848318687422556e-05,0.008051690332749396,3.3232212458281704e-05,9.020171952962177e-05,0.0009945926442871452,0.0,0.0,4.747458922611672e-06,2.1363565151752523e-05,1.4242376767835016e-05,0.0,0.0,0.000261110240743642,0.00016853479175271436,0.0,0.0,0.0007500985097726442
р,0.00883027359605771,0.00016853479175271436,0.0005412103171777307,0.0002112619220562194,0.0004082814673446038,0.006112353362862527,0.0002824738058953945,6.883815437786925e-05,0.006499271265055379,2.373729461305836e-06,0.0002777263469727828,9.494917845223345e-05,0.0003750492548863221,0.0008070680168439843,0.008768556630063758,0.00036555433704109873,4.7474589226116724e-05,0.00021363565151752526,0.00072398748569828,0.003097716947004116,0.0003346958540441229,7.595934276178675e-05,2.1363565151752523e-05,8.308053114570427e-05,0.0002492415934371128,2.1363565151752523e-05,0.0,0.0009945926442871452,0.0010776731754328496,4.747458922611672e-06,0.00024212040505319527,0.0011322689530428838
с,0.002010548853726043,0.000246867863975807,0.00200105393588082,0.00011393901414268013,0.0004984831868742256,0.005369376041473801,0.0002492415934371128,0.00010681782575876263,0.0018586301682024695,0.0,0.0043344299963444565,0.003261504279834219,0.0015049444784679,0.0015405504203874875,0.0033944331296673455,0.0024639311808354577,0.0002824738058953945,0.0011702486244237773,0.011522082805178527,0.0010800469048941554,1.4242376767835016e-05,0.00025873651128233615,5.459577761003423e-05,0.0005815637180199299,0.00010444409629745679,2.373729461305836e-06,2.3737294613058362e-05,0.0002634839702049478,0.0038264518916250076,8.308053114570427e-05,0.000275352617511477,0.004194379958127412
т,0.007045229041155721,0.0004510085976481089,0.003197413584378961,9.020171952962177e-05,0.00047237216279986136,0.007237501127521494,0.00010444409629745679,0.0001898983569044669,0.004493469870251948,0.0,0.0007453510508500325,0.00035605941919587543,0.0002492415934371128,0.0019393369698868681,0.01787180911417164,0.0006242908483234348,0.003793219679166726,0.0019274683225803388,0.0005079781047194489,0.00214347770355917,2.6111024074364197e-05,5.9343236532645905e-05,9.257544899092761e-05,0.0007002501910852217,2.3737294613058362e-05,2.8484753535670033e-05,1.1868647306529181e-05,0.0016521157050688618,0.00788315554099668,0.0001258076614492093,9.732290791353927e-05,0.0005744425296360123
у,0.00022313056936274858,0.0010966630111232962,0.001535802961464876,0.001839640332512023,0.0026728193734303716,0.00034419077188934625,0.0022336794230887916,0.0005079781047194489,0.0007334824035435033,0.00023499921666927777,0.0012058545663433647,0.0018040343905924355,0.00222893196416618,0.0015737826328457694,0.00046287724495463806,0.0015263080436196527,0.0007073713794691391,0.001925094593119033,0.0023808506496897537,0.00016616106229140853,3.7979671380893375e-05,0.000493735727951614,7.121188383917508e-06,0.0014242376767835017,0.0006504018723977991,0.00031333228889237035,0.0,0.0,0.0,0.00012106020252659763,0.0008379264998409601,0.00023737294613058362
